"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","7","27","StdCyclomaticComplexity","The class 'AccountBatchAnonymisation' has a Standard Cyclomatic Complexity of 3 (Highest = 10).","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"2","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","12","12","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","18","17","FieldDeclarationsShouldBeAtStart","Field declaration for 'idEmailMap' should be before method declarations in its class","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"4","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","25","30","ApexDoc","Missing or mismatched ApexDoc @param","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","34","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"6","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","34","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"7","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","35","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"8","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","35","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"9","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","39","12","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"10","3","3","/home/runner/work/pm_dev_RV-2/pm_dev_RV-2/force-app/main/default/classes/AccountBatchAnonymisation.cls","39","12","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
